marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Mini,Cooper S,Bez oštećenja,193,Da,57000,1998,Benzin,Manuelni,2016,27500
Volkswagen,Passat,Bez oštećenja,149,Da,194874,1997,Dizel,Manuelni,2018,14300
Citroen,C4 Picasso,Bez oštećenja,123,Da,213366,1560,Dizel,Automatski,2018,11100
Volkswagen,Golf 8,Bez oštećenja,150,Ne,198000,1968,Dizel,Automatski,2020,21990
Kia,Stonic,Bez oštećenja,83,Ne,18,1197,Benzin,Manuelni,2023,17300
Volkswagen,Tiguan,Bez oštećenja,149,Da,188000,2000,Dizel,Automatski,2021,34950
Ford,Focus,Bez oštećenja,100,Da,170000,1596,Benzin,Manuelni,2005,2300
Volkswagen,Golf 6,Bez oštećenja,104,Ne,220000,1600,Dizel,Manuelni,2010,5400
Mercedes Benz,GLA 220,Bez oštećenja,168,Da,180000,2143,Dizel,Automatski,2016,19000
Opel,Astra,Bez oštećenja,136,Da,200000,1600,Dizel,Automatski,2017,10990
BMW,X1,Bez oštećenja,149,Da,200000,2000,Dizel,Automatski,2019,18590
Peugeot,2008,Bez oštećenja,130,Da,160000,1500,Dizel,Automatski,2020,16990
Volvo,XC 40,Bez oštećenja,150,Da,138000,1995,Dizel,Automatski,2019,22950
Audi,A6 Allroad,Bez oštećenja,204,Da,160000,2967,Dizel,Tiptronik,2012,21999
Mercedes Benz,C 220,Bez oštećenja,170,Da,249000,2200,Dizel,Automatski,2014,19500
Peugeot,207,Bez oštećenja,68,Da,209600,1398,Dizel,Manuelni,2009,3850
Citroen,C3,Bez oštećenja,68,Da,239600,1398,Dizel,Manuelni,2011,4200
Fiat,Panda,Bez oštećenja,65,Ne,166000,900,Benzin,Manuelni,2013,5200
Mercedes Benz,220,Bez oštećenja,195,Ne,210000,1995,Dizel,Automatski,2018,19000
Toyota,RAV 4,Bez oštećenja,149,Da,269600,2200,Dizel,Manuelni,2012,9600
Volvo,XC 60,Bez oštećenja,190,Ne,138000,1969,Dizel,Manuelni,2019,23500
Audi,Q5,Bez oštećenja,170,Ne,245000,2000,Dizel,Automatski,2011,13500
Volkswagen,Golf 7.5,Bez oštećenja,116,Da,272000,1600,Dizel,Automatski,2018,13800
Volkswagen,Golf 7,Bez oštećenja,105,Ne,219211,1600,Dizel,Manuelni,2014,9800
Audi,Q3,Bez oštećenja,150,Da,25000,2000,Dizel,Automatski,2022,42500
Mitsubishi,Pajero,Bez oštećenja,170,Da,204216,3200,Dizel,Automatski,2008,18700
Jaguar,F-Pace,Bez oštećenja,179,Da,132721,1999,Dizel,Automatski,2018,29990
BMW,520,Bez oštećenja,190,Da,66208,1995,Hibrid dizel,Automatski,2022,42800
Peugeot,2008,Bez oštećenja,100,Da,141140,1499,Dizel,Manuelni,2020,13499
Volkswagen,Golf 8,Bez oštećenja,149,Da,167000,2000,Dizel,Automatski,2020,18950
Volkswagen,Golf 7,Bez oštećenja,301,Da,215000,2000,Benzin,Automatski,2015,27000
Volkswagen,Tiguan,Bez oštećenja,149,Da,119000,2000,Dizel,Automatski,2021,22950
Mercedes Benz,B 180,Bez oštećenja,109,Ne,239000,1500,Dizel,Manuelni,2015,11800
BMW,530,Bez oštećenja,265,Ne,149000,3000,Dizel,Automatski,2017,35800
Škoda,Octavia,Bez oštećenja,200,Ne,130000,2000,Dizel,Automatski,2022,28950
BMW,330,Bez oštećenja,292,Da,92400,2000,Hibrid benzin,Automatski,2020,35250
Škoda,Octavia,Bez oštećenja,200,Ne,130000,2000,Dizel,Automatski,2022,28950
BMW,330,Bez oštećenja,292,Da,92400,2000,Hibrid benzin,Automatski,2020,35250
Volkswagen,Golf 8,Bez oštećenja,244,Da,115000,2000,Benzin,Automatski,2021,31950
Audi,Q3,Bez oštećenja,190,Da,150000,2000,Dizel,Automatski,2020,29950
BMW,X1,Bez oštećenja,116,Ne,167000,1500,Dizel,Automatski,2020,20450
Peugeot,408,Bez oštećenja,225,Ne,44000,1600,Hibrid benzin,Automatski,2022,28950
Peugeot,3008,Bez oštećenja,300,Ne,173000,1600,Hibrid benzin,Automatski,2021,22450
Suzuki,SX4,Bez oštećenja,120,Da,76000,1600,Benzin,Manuelni,2013,8990
Audi,A1,Bez oštećenja,104,Da,224000,1600,Dizel,Manuelni,2012,7950
Mercedes Benz,C 250,Bez oštećenja,204,Da,214000,2200,Dizel,Automatski,2017,29600
Fiat,500,Bez oštećenja,69,Da,38000,1200,Benzin,Automatski,2019,13900
BMW,X3 M,Bez oštećenja,176,Da,181000,2000,Dizel,Automatski,2008,11300
Chevrolet,Captiva,Bez oštećenja,150,Da,302000,1991,Dizel,Manuelni,2007,5500
Volkswagen,Tiguan,Bez oštećenja,161,Da,225000,1400,Benzin,Manuelni,2012,11500
Volkswagen,Tiguan Allspace,Bez oštećenja,190,Ne,195000,2000,Dizel,Automatski,2019,27500
Volkswagen,Golf GTI,Bez oštećenja,230,Ne,208000,2000,Benzin,Automatski,2013,17500
Volkswagen,Golf 6,Bez oštećenja,140,Ne,263000,2000,Dizel,Manuelni,2012,8700
Audi,A6,Bez oštećenja,286,Da,173500,2967,Hibrid dizel,Automatski,2019,35000
BMW,645,Bez oštećenja,333,Da,260000,4398,Benzin,Automatski,2004,6400
Volkswagen,Tiguan,Bez oštećenja,140,Da,252000,1968,Dizel,Automatski,2012,11700
Fiat,Punto Evo,Bez oštećenja,85,Da,228600,1300,Dizel,Manuelni,2012,4499
Audi,Q5,Bez oštećenja,190,Ne,219000,2000,Dizel,Automatski,2014,21000
BMW,318 Gran Turismo,Bez oštećenja,142,Da,232899,2000,Dizel,Manuelni,2010,6300
Opel,Corsa,Bez oštećenja,95,Ne,224449,1300,Dizel,Manuelni,2011,4250
Ford,S-Max,Bez oštećenja,149,Da,208000,2000,Dizel,Automatski,2020,15900
Volkswagen,Golf 8,Bez oštećenja,149,Da,165000,2000,Dizel,Automatski,2020,22500
Peugeot,3008,Bez oštećenja,130,Da,126000,1500,Dizel,Automatski,2020,18500
Citroen,C3 Aircross,Bez oštećenja,100,Ne,170000,1500,Dizel,Manuelni,2019,9900
BMW,X1,Bez oštećenja,149,Ne,196000,2000,Dizel,Automatski,2020,18900
Renault,Kadjar,Bez oštećenja,115,Da,186000,1500,Dizel,Automatski,2019,15600
BMW,218 Gran Tourer,Bez oštećenja,150,Da,235000,2000,Dizel,Automatski,2016,13950
BMW,640,Bez oštećenja,313,Da,180000,3000,Dizel,Automatski,2013,34000
Renault,Koleos,Bez oštećenja,176,Da,165000,1995,Dizel,Automatski,2018,20500
Audi,A3,Bez oštećenja,150,Da,223000,1968,Dizel,Automatski,2016,15950
Audi,Q8,Bez oštećenja,340,Ne,113000,3000,Benzin,Automatski,2020,61950
Peugeot,Bipper,Bez oštećenja,74,Da,162000,1298,Dizel,Manuelni,2011,5800
Land Rover,Range Rover Sport,Bez oštećenja,258,Da,227000,3000,Dizel,Automatski,2015,32500
Mercedes Benz,C 200,Bez oštećenja,160,Da,193000,1600,Dizel,Automatski,2020,18000
Porsche,Cayenne,Bez oštećenja,239,Da,237000,2967,Dizel,Automatski,2011,24000
Volkswagen,Eos,Bez oštećenja,140,Da,237000,1968,Dizel,Manuelni,2009,6500
Peugeot,308,Bez oštećenja,102,Da,183000,1500,Dizel,Manuelni,2019,8300
Volvo,XC 40,Bez oštećenja,150,Da,182000,2000,Dizel,Manuelni,2018,21300
Volvo,XC 60,Bez oštećenja,197,Ne,107000,1969,Dizel,Automatski,2019,27950
Škoda,Octavia,Bez oštećenja,150,Ne,108000,1968,Dizel,Automatski,2020,19950
Audi,A3,Bez oštećenja,105,Da,329000,1898,Dizel,Manuelni,2004,5000
BMW,520,Bez oštećenja,190,Da,200000,2000,Dizel,Automatski,2017,33000
Peugeot,2008,Bez oštećenja,131,Ne,141513,1500,Dizel,Automatski,2021,17850
Mitsubishi,L200,Bez oštećenja,150,Da,34600,2268,Dizel,Manuelni,2021,35000
Audi,A3,Bez oštećenja,183,Da,229000,1968,Dizel,Automatski,2013,14200
Volkswagen,Golf 8,Bez oštećenja,245,Da,58000,1996,Benzin,Automatski,2022,34000
Volkswagen,Golf 8,Bez oštećenja,245,Da,111000,1989,Benzin,Automatski,2021,30500
Land Rover,Range Rover Evoque,Bez oštećenja,149,Ne,197643,2179,Dizel,Automatski,2015,15999
Audi,A6 Allroad,Bez oštećenja,350,Ne,228024,3000,Hibrid dizel,Automatski,2020,34980
